clock,t_s,action,wardType,by
19:26,1167,PLACED,SIGHT_WARD,Leona
19:28,1169,PLACED,UNDEFINED,Jhin
19:30,1171,PLACED,YELLOW_TRINKET,Darius
19:31,1172,PLACED,SIGHT_WARD,Seraphine
19:43,1183,PLACED,SIGHT_WARD,Leona
19:52,1193,PLACED,SIGHT_WARD,Leona
20:19,1219,PLACED,YELLOW_TRINKET,Darius
20:20,1221,PLACED,UNDEFINED,Jhin
20:21,1222,PLACED,SIGHT_WARD,Seraphine
20:25,1225,KILLED,YELLOW_TRINKET,Seraphine
20:29,1230,PLACED,UNDEFINED,Jhin
20:46,1246,KILLED,SIGHT_WARD,Seraphine
20:50,1250,PLACED,YELLOW_TRINKET,Ekko
21:02,1263,PLACED,YELLOW_TRINKET,Jhin
21:21,1282,PLACED,YELLOW_TRINKET,Kaisa
21:22,1282,PLACED,UNDEFINED,Jhin
21:26,1287,PLACED,BLUE_TRINKET,Viktor
21:30,1290,PLACED,CONTROL_WARD,Seraphine
21:34,1294,KILLED,YELLOW_TRINKET,Seraphine
21:50,1311,PLACED,SIGHT_WARD,Seraphine
21:50,1311,PLACED,YELLOW_TRINKET,Renekton
22:03,1323,PLACED,SIGHT_WARD,Seraphine
22:15,1336,PLACED,SIGHT_WARD,Seraphine
22:16,1336,PLACED,SIGHT_WARD,Seraphine
22:16,1337,PLACED,UNDEFINED,Jhin
22:22,1342,PLACED,UNDEFINED,Jhin
22:39,1360,PLACED,UNDEFINED,Jhin
23:00,1381,PLACED,YELLOW_TRINKET,Kaisa
23:20,1401,PLACED,SIGHT_WARD,Seraphine
23:36,1417,PLACED,SIGHT_WARD,Leona
23:43,1423,PLACED,SIGHT_WARD,Leona
23:49,1429,PLACED,SIGHT_WARD,Seraphine
23:49,1429,PLACED,YELLOW_TRINKET,Jhin
23:54,1434,KILLED,SIGHT_WARD,Seraphine
23:54,1435,PLACED,YELLOW_TRINKET,Renekton
24:00,1441,PLACED,SIGHT_WARD,Seraphine
24:05,1446,PLACED,SIGHT_WARD,Seraphine
24:07,1448,PLACED,BLUE_TRINKET,Viktor
24:33,1474,PLACED,CONTROL_WARD,Seraphine
24:41,1481,PLACED,UNDEFINED,Jhin
24:51,1492,PLACED,UNDEFINED,Jhin
25:08,1508,PLACED,UNDEFINED,Jhin
25:21,1521,PLACED,YELLOW_TRINKET,Darius
25:32,1533,KILLED,CONTROL_WARD,Leona
25:35,1536,PLACED,YELLOW_TRINKET,Renekton
25:41,1541,PLACED,UNDEFINED,Jhin
26:05,1566,PLACED,UNDEFINED,Jhin
26:08,1569,PLACED,YELLOW_TRINKET,Darius
26:09,1569,PLACED,UNDEFINED,Jhin
26:16,1577,PLACED,SIGHT_WARD,Seraphine
26:23,1584,PLACED,UNDEFINED,Jhin
26:27,1587,PLACED,SIGHT_WARD,Seraphine
26:31,1592,KILLED,SIGHT_WARD,Kaisa
26:39,1600,PLACED,UNDEFINED,Jhin
26:47,1607,PLACED,SIGHT_WARD,Leona
26:57,1617,PLACED,UNDEFINED,Jhin
26:57,1618,PLACED,YELLOW_TRINKET,Kaisa
27:00,1620,PLACED,BLUE_TRINKET,Viktor
27:04,1625,PLACED,CONTROL_WARD,Leona
27:16,1637,PLACED,UNDEFINED,Jhin
27:36,1656,PLACED,YELLOW_TRINKET,Renekton
27:37,1657,PLACED,SIGHT_WARD,Seraphine
27:40,1661,KILLED,SIGHT_WARD,Leona
27:42,1662,KILLED,UNDEFINED,Kaisa
27:42,1662,PLACED,YELLOW_TRINKET,Darius
27:43,1663,PLACED,UNDEFINED,Jhin
27:44,1664,PLACED,SIGHT_WARD,Seraphine
27:46,1666,PLACED,UNDEFINED,Jhin
27:48,1669,KILLED,SIGHT_WARD,Leona
28:02,1683,PLACED,UNDEFINED,Jhin
28:26,1707,PLACED,YELLOW_TRINKET,Kaisa
28:26,1707,PLACED,UNDEFINED,Jhin
28:27,1707,PLACED,BLUE_TRINKET,Jhin
28:38,1718,PLACED,SIGHT_WARD,Seraphine
28:53,1734,PLACED,UNDEFINED,Jhin
29:08,1749,PLACED,UNDEFINED,Jhin
29:16,1757,PLACED,SIGHT_WARD,Seraphine
29:17,1758,KILLED,CONTROL_WARD,Jhin
29:19,1760,PLACED,CONTROL_WARD,Seraphine
29:20,1761,PLACED,UNDEFINED,Jhin
29:31,1772,PLACED,YELLOW_TRINKET,Darius
29:37,1777,PLACED,SIGHT_WARD,Leona
29:54,1795,PLACED,SIGHT_WARD,Leona
29:58,1799,PLACED,UNDEFINED,Jhin
30:05,1806,PLACED,UNDEFINED,Jhin
30:06,1806,PLACED,YELLOW_TRINKET,Renekton
30:23,1824,PLACED,UNDEFINED,Jhin
30:37,1838,KILLED,SIGHT_WARD,Leona
30:46,1847,PLACED,YELLOW_TRINKET,Renekton
30:48,1848,PLACED,CONTROL_WARD,Leona
30:51,1852,PLACED,SIGHT_WARD,Leona
30:58,1858,PLACED,UNDEFINED,Jhin
30:59,1859,PLACED,SIGHT_WARD,Leona
31:05,1866,PLACED,SIGHT_WARD,Seraphine
31:08,1868,PLACED,SIGHT_WARD,Leona
31:13,1873,PLACED,UNDEFINED,Jhin
31:22,1882,PLACED,SIGHT_WARD,Seraphine
31:37,1898,PLACED,UNDEFINED,Jhin
31:42,1902,PLACED,UNDEFINED,Jhin
